product_id,content_id,service_code,floor_code,title,date,url,affiliate_url,maker_name,label,series,genre
12fta032,12fta032,digital,videoa,初撮り潮吹き中出し　アクセサリーショップ店員　ゆうみ,2007-01-31 10:00:12,https://video.dmm.co.jp/av/content/?id=12fta032,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D12fta032&af_id=okd0405-990&ch=api,,,,潮吹き / 中出し / 騎乗位 / 拘束
12fta033,12fta033,digital,videoa,ナンパはギャルDEナイト ～札幌編～,2007-01-31 10:00:11,https://video.dmm.co.jp/av/content/?id=12fta033,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D12fta033&af_id=okd0405-990&ch=api,,,,3P・4P / 企画 / 素人 / ギャル / ナンパ
12fta031,12fta031,digital,videoa,初撮り潮吹き中出し　医療事務員　みか,2007-01-31 10:00:09,https://video.dmm.co.jp/av/content/?id=12fta031,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D12fta031&af_id=okd0405-990&ch=api,,,,騎乗位 / 中出し / 潮吹き
60srxv321,60srxv321,digital,videoa,たまゆら 伊東怜,2007-01-31 10:00:08,https://video.dmm.co.jp/av/content/?id=60srxv321,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D60srxv321&af_id=okd0405-990&ch=api,,,,美乳 / 美少女 / 淫乱・ハード系 / 単体作品
41hodv20343,41hodv20343,digital,videoa,ドMに欲情スパルタン 水嶋友穂,2007-01-31 10:00:07,https://video.dmm.co.jp/av/content/?id=41hodv20343,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D41hodv20343&af_id=okd0405-990&ch=api,,,,ハメ撮り / 単体作品 / ランジェリー / パイズリ / 巨乳
51dvs032,51dvs032,digital,videoa,奴●秘書 43 森下理音,2007-01-31 10:00:06,https://video.dmm.co.jp/av/content/?id=51dvs032,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D51dvs032&af_id=okd0405-990&ch=api,,,,縛り・緊縛 / 秘書 / SM / 単体作品
28dvh285,28dvh285,digital,videoa,巨乳レ●プ4時間第5章,2007-01-31 10:00:05,https://video.dmm.co.jp/av/content/?id=28dvh285,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D28dvh285&af_id=okd0405-990&ch=api,,,,顔射 / 中出し / 巨乳
49fn066,49fn066,digital,videoa,28歳 女ざかり 8,2007-01-31 10:00:04,https://video.dmm.co.jp/av/content/?id=49fn066,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D49fn066&af_id=okd0405-990&ch=api,,,,3P・4P / ランジェリー / 人妻・主婦 / OL
13ic06,13ic06,digital,videoa,近親相姦 溺愛の巨乳母 杉本彩子,2007-01-31 10:00:04,https://video.dmm.co.jp/av/content/?id=13ic06,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D13ic06&af_id=okd0405-990&ch=api,,,,単体作品 / フェラ / 巨乳 / 未亡人 / 近親相姦
428dtid01,428dtid01,digital,videoa,真夏の湘南ビーチハウス 脱衣所 真夏の水着ギャルデカパイ編,2007-01-31 10:00:03,https://video.dmm.co.jp/av/content/?id=428dtid01,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D428dtid01&af_id=okd0405-990&ch=api,,,,巨乳 / 水着 / 盗撮・のぞき / 素人
h_006bog056,h_006bog056,digital,videoa,禁断（生）映像 In’OUT 5,2007-01-31 10:00:02,https://video.dmm.co.jp/av/content/?id=h_006bog056,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dh_006bog056&af_id=okd0405-990&ch=api,,,,ミニスカ / 素人 / 騎乗位 / シックスナイン
104ktsd002,104ktsd002,digital,videoa,ミセスショップスペシャルVol.2,2007-01-31 10:00:02,https://video.dmm.co.jp/av/content/?id=104ktsd002,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D104ktsd002&af_id=okd0405-990&ch=api,,,,企画 / 痴女 / 巨乳 / 熟女
56sea075,56sea075,digital,videoa,告白 白石ことこ,2007-01-31 10:00:01,https://video.dmm.co.jp/av/content/?id=56sea075,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D56sea075&af_id=okd0405-990&ch=api,,,,単体作品 / 縛り・緊縛 / 監禁
428drk40,428drk40,digital,videoa,完全素人娘 超敏感！！驚愕の騎乗位娘 まりえ,2007-01-31 10:00:01,https://video.dmm.co.jp/av/content/?id=428drk40,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D428drk40&af_id=okd0405-990&ch=api,,,,盗撮・のぞき / 素人 / 騎乗位
kkux001,kkux001,digital,videoa,祝創刊！！中出し妊娠熟女,2007-01-31 10:00:00,https://video.dmm.co.jp/av/content/?id=kkux001,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dkkux001&af_id=okd0405-990&ch=api,,,,インディーズ / 3P・4P / 中出し / 熟女
jcbl001,jcbl001,digital,videoa,アソコの毛を剃ってパイパンにしてSEXしちゃいました。 4時間DX,2007-01-31 10:00:00,https://video.dmm.co.jp/av/content/?id=jcbl001,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Djcbl001&af_id=okd0405-990&ch=api,,,,インディーズ / 放尿・お漏らし / パイパン
hocl059,hocl059,digital,videoa,4時間 素人人妻に中出ししました！,2007-01-31 10:00:00,https://video.dmm.co.jp/av/content/?id=hocl059,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dhocl059&af_id=okd0405-990&ch=api,,,,インディーズ / 中出し / 素人 / 人妻・主婦
czav021,czav021,digital,videoa,ヤンキー集団痴女にボンタン狩られてみませんか？,2007-01-31 10:00:00,https://video.dmm.co.jp/av/content/?id=czav021,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dczav021&af_id=okd0405-990&ch=api,,,,インディーズ / デジモ / 放尿・お漏らし / 手コキ / 痴女
66dtl035,66dtl035,digital,videoa,Maison de フードル 熊田夏樹,2007-01-30 10:00:16,https://video.dmm.co.jp/av/content/?id=66dtl035,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D66dtl035&af_id=okd0405-990&ch=api,,,,コスプレ / オナニー / 足コキ / 手コキ / キャバ嬢・風俗嬢 / 騎乗位 / 単体作品
h_066x1047,h_066x1047,digital,videoa,ネコのやわ肌 タチの白い乳房,2007-01-30 10:00:15,https://video.dmm.co.jp/av/content/?id=h_066x1047,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dh_066x1047&af_id=okd0405-990&ch=api,,,,クンニ / レズビアン / シックスナイン / ドラマ
h_006bog589r,h_006bog589r,digital,videoa,ONE+GAL 10,2007-01-30 10:00:14,https://video.dmm.co.jp/av/content/?id=h_006bog589r,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dh_006bog589r&af_id=okd0405-990&ch=api,,,,お姉さん / ギャル / ハメ撮り
66nov8418,66nov8418,digital,videoa,トラワレ 2 ～監禁女子校生～,2007-01-30 10:00:13,https://video.dmm.co.jp/av/content/?id=66nov8418,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D66nov8418&af_id=okd0405-990&ch=api,,,,監禁 / 女子校生 / 辱め / 拘束 / 制服
h_066x1046,h_066x1046,digital,videoa,夫と別れたい！熟女不倫,2007-01-30 10:00:11,https://video.dmm.co.jp/av/content/?id=h_066x1046,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dh_066x1046&af_id=okd0405-990&ch=api,,,,熟女 / 妊婦 / ドラマ / 人妻・主婦 / 不倫 / シックスナイン
h_066x1045,h_066x1045,digital,videoa,レ●プ 哀れなる者、汝の名は女なり,2007-01-30 10:00:10,https://video.dmm.co.jp/av/content/?id=h_066x1045,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dh_066x1045&af_id=okd0405-990&ch=api,,,,辱め / 縛り・緊縛 / ドラマ
433oned003,433oned003,digital,videoa,お姉さんがしてあげる Aoi.,2007-01-30 10:00:10,https://video.dmm.co.jp/av/content/?id=433oned003,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D433oned003&af_id=okd0405-990&ch=api,,,,単体作品 / 足コキ / 淫語 / 放尿・お漏らし / お姉さん
h_066x1048,h_066x1048,digital,videoa,世間によくある話し 息子の同級生とできた母/義父にやられる娘/婿とできた母,2007-01-30 10:00:09,https://video.dmm.co.jp/av/content/?id=h_066x1048,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dh_066x1048&af_id=okd0405-990&ch=api,,,,ドラマ / 熟女 / 義母 / 騎乗位 / 近親相姦 / クンニ
140m599,140m599,digital,videoa,近親調教 Mの棲む家 其の二,2007-01-30 10:00:09,https://video.dmm.co.jp/av/content/?id=140m599,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D140m599&af_id=okd0405-990&ch=api,,,,レズビアン / 巨乳 / 熟女 / 近親相姦
66damo087,66damo087,digital,videoa,ラブハメ 女子校生私的猥褻旅行 みさと18歳,2007-01-30 10:00:08,https://video.dmm.co.jp/av/content/?id=66damo087,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D66damo087&af_id=okd0405-990&ch=api,,,,野外・露出 / 競泳・スクール水着 / 体操着・ブルマ / 女子校生 / 羞恥
h_006bog590sr,h_006bog590sr,digital,videoa,TOKYO SWEET HONEY ＃02,2007-01-30 10:00:07,https://video.dmm.co.jp/av/content/?id=h_006bog590sr,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dh_006bog590sr&af_id=okd0405-990&ch=api,,,,ハメ撮り / 騎乗位 / 素人 / ミニ系
60srxv141,60srxv141,digital,videoa,SHOOTING！ 小沢菜穂,2007-01-30 10:00:06,https://video.dmm.co.jp/av/content/?id=60srxv141,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D60srxv141&af_id=okd0405-990&ch=api,,,,美少女 / 野外・露出 / 痴女 / 競泳・スクール水着 / 単体作品
428dcs19,428dcs19,digital,videoa,完全素人娘 ピンクのDカップ女子校生 美央18才,2007-01-30 10:00:05,https://video.dmm.co.jp/av/content/?id=428dcs19,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D428dcs19&af_id=okd0405-990&ch=api,,,,制服 / 巨乳 / 素人 / 放尿・お漏らし
41vhs003,41vhs003,digital,videoa,狂ったエロスで犯して 美神ルナ,2007-01-30 10:00:05,https://video.dmm.co.jp/av/content/?id=41vhs003,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D41vhs003&af_id=okd0405-990&ch=api,,,,単体作品 / 女子大生 / ぶっかけ / パイパン / ドキュメンタリー
49mvf90d,49mvf90d,digital,videoa,昼下がりの淫ら妻 23,2007-01-30 10:00:04,https://video.dmm.co.jp/av/content/?id=49mvf90d,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D49mvf90d&af_id=okd0405-990&ch=api,,,,騎乗位 / 淫乱・ハード系 / 人妻・主婦
44avd317,44avd317,digital,videoa,路上逆ナンFILE 素人男vsエロチックgirls,2007-01-30 10:00:03,https://video.dmm.co.jp/av/content/?id=44avd317,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D44avd317&af_id=okd0405-990&ch=api,,,,逆ナン / 手コキ / 騎乗位 / 企画 / 3P・4P / ナンパ
17ykhd12,17ykhd12,digital,videoa,還暦熟女 馬場さき,2007-01-30 10:00:03,https://video.dmm.co.jp/av/content/?id=17ykhd12,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D17ykhd12&af_id=okd0405-990&ch=api,,,,熟女 / 和服・浴衣 / クンニ / ぽっちゃり / 単体作品
